,Bidding Zone,Installed Capacity [MW],Name,Production Type,Start,Voltage Connection Level [kV]
11WD8KLIN5X----0,10Y1001A1001A82H,164,HKW Klingenberg,Fossil Gas,2023-12-31 23:00:00+00:00,110
11WD8LICH5G----1,10Y1001A1001A82H,300,HKW Lichterfelde,Fossil Gas,2023-12-31 23:00:00+00:00,110
11WD8LIPD1L----P,10Y1001A1001A82H,1782,KW Lippendorf,Fossil Brown coal/Lignite,2023-12-31 23:00:00+00:00,380
11WD8MARK1H----7,10Y1001A1001A82H,960,PSW Markersbach,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,380
11WD8MITT5G----0,10Y1001A1001A82H,444,HKW Mitte,Fossil Gas,2023-12-31 23:00:00+00:00,110
11WD8MOAB5X----5,10Y1001A1001A82H,140,Moabit,Fossil Hard coal,2023-12-31 23:00:00+00:00,110
11WD8REUW1C----4,10Y1001A1001A82H,564,HKW Reuter West,Fossil Hard coal,2023-12-31 23:00:00+00:00,380
11WD8ROST1C---P5,10Y1001A1001A82H,514,Kraftwerk Rostock,Fossil Hard coal,2023-12-31 23:00:00+00:00,380
11WD8SCHK1L----O,10Y1001A1001A82H,900,Schkopau,Fossil Brown coal/Lignite,2023-12-31 23:00:00+00:00,380
11WD8SCHW5X----D,10Y1001A1001A82H,359,Industriekraftwerk PCK,Fossil Oil,2023-12-31 23:00:00+00:00,110
11WD8SWPU1L----5,10Y1001A1001A82H,1510,KW Schwarze Pumpe,Fossil Brown coal/Lignite,2023-12-31 23:00:00+00:00,380
11WD8TIEF5X----V,10Y1001A1001A82H,316,HKW Tiefstack,Fossil Hard coal,2023-12-31 23:00:00+00:00,110
11WD8WED15C----Q,10Y1001A1001A82H,250,HKW Wedel,Fossil Hard coal,2023-12-31 23:00:00+00:00,110
14W-DRX-WP-KW--S,10Y1001A1001A82H,116.7,UW Druxberge,Wind Onshore,2023-12-31 23:00:00+00:00,110
